id,priceid,day
001,SNAP0,13.1
001,SNAP1,23.39
001,SNAP2,31.83
001,SNAP3,36.39
001,SNAP4,52.3
001,SNAP5,67.83
001,SNAP6,76.75
001,SNAP7,83.92
001,SNAP8,82.53
001,SNAP9,76.47
001,SNAP10,61.58
001,SNAP11,68.4
001,SNAP12,73.18
001,SNAP13,89.14
001,SNAP14,80.78
001,SNAP15,88.9
001,SNAP16,102.44
001,SNAP17,99.5
001,SNAP18,106.34
001,SNAP19,107.18
001,SNAP20,108.39
001,SNAP21,100.09
001,SNAP22,110.06
001,SNAP23,115.3
001,SNAP24,115.98
001,SNAP25,94.45
001,SNAP26,96.65
001,SNAP27,105.76
001,SNAP28,105.94
001,SNAP29,92.21
001,SNAP30,77.13
001,SNAP31,88.68
001,SNAP32,93.64
001,SNAP33,85.94
001,SNAP34,76.7
001,SNAP35,63.11
001,SNAP36,68.98
001,SNAP37,49.15
001,SNAP38,54.78
001,SNAP39,49.55
001,SNAP40,67.71
001,SNAP41,65.87
001,SNAP42,63.43
001,SNAP43,69.98
001,SNAP44,64.47
001,SNAP45,52.97
001,SNAP46,47.16
001,SNAP47,63.09
001,SNAP48,66.98
001,SNAP49,88.65
001,SNAP50,98.39
001,SNAP51,101.6
001,SNAP52,98.82
001,SNAP53,113.51
001,SNAP54,118.19
001,SNAP55,99.43
001,SNAP56,105.31
001,SNAP57,115.9
001,SNAP58,122.95
001,SNAP59,119.14
001,SNAP60,122.65
001,SNAP61,118.01
001,SNAP62,113.08
001,SNAP63,111.9
001,SNAP64,116.95
001,SNAP65,98.69
001,SNAP66,97.48
001,SNAP67,99.23
001,SNAP68,95.82
001,SNAP69,107.1
001,SNAP70,105.34
001,SNAP71,122.72
001,SNAP72,112.38
001,SNAP73,106.36
001,SNAP74,111.4
001,SNAP75,113.48
001,SNAP76,122.5
001,SNAP77,127.27
001,SNAP78,125.69
001,SNAP79,134.51
001,SNAP80,135.97
001,SNAP81,142.44
001,SNAP82,139.6
001,SNAP83,135.44
001,SNAP84,137.49
001,SNAP85,151.87
001,SNAP86,148.86
001,SNAP87,165.6
001,SNAP88,186.18
001,SNAP89,203.93
001,SNAP90,197.68
001,SNAP91,191
001,SNAP92,190.5
001,SNAP93,193.12
001,SNAP94,206.47
001,SNAP95,207.72
001,SNAP96,223.43
001,SNAP97,233.45
001,SNAP98,241.72
001,SNAP99,249.79
001,SNAP100,231.21
001,SNAP101,220.36
001,SNAP102,229.69
001,SNAP103,222.15
001,SNAP104,235.35
001,SNAP105,241.8
001,SNAP106,245.36
002,TSLA0,4.64
002,TSLA1,1.01
002,TSLA2,15.02
002,TSLA3,8.44
002,TSLA4,15.66
002,TSLA5,26.22
002,TSLA6,25.42
002,TSLA7,16.48
002,TSLA8,25.45
002,TSLA9,25.79
002,TSLA10,48.13
002,TSLA11,51.04
002,TSLA12,48
002,TSLA13,55.76
002,TSLA14,55.98
002,TSLA15,36.02
002,TSLA16,46.79
002,TSLA17,41.9
002,TSLA18,37.43
002,TSLA19,50.69
002,TSLA20,40.95
002,TSLA21,21.08
002,TSLA22,28.97
002,TSLA23,38.07
002,TSLA24,52.59
002,TSLA25,41.99
002,TSLA26,47.63
002,TSLA27,29.44
002,TSLA28,30.02
002,TSLA29,25.7
002,TSLA30,15.18
002,TSLA31,15.22
002,TSLA32,3.06
002,TSLA33,1.25
002,TSLA34,2.63
002,TSLA35,9.44
002,TSLA36,16.93
002,TSLA37,3.69
002,TSLA38,6.51
002,TSLA39,4.97
002,TSLA40,6.64
002,TSLA41,6.96
002,TSLA42,6.99
002,TSLA43,17.88
002,TSLA44,16.86
002,TSLA45,22.84
002,TSLA46,9.31
002,TSLA47,10.62
002,TSLA48,1.81
002,TSLA49,7.33
002,TSLA50,16.57
002,TSLA51,13.61
002,TSLA52,14.6
002,TSLA53,6.2
002,TSLA54,1.6
002,TSLA55,2.92
002,TSLA56,5.13
002,TSLA57,8.98
002,TSLA58,15.43
002,TSLA59,13.85
002,TSLA60,6.44
002,TSLA61,1.96
002,TSLA62,9.52
002,TSLA63,2.14
002,TSLA64,25.2
002,TSLA65,19.02
002,TSLA66,16.21
002,TSLA67,12.36
002,TSLA68,12.93
002,TSLA69,3.37
002,TSLA70,1.03
002,TSLA71,13.21
002,TSLA72,18.92
002,TSLA73,17.23
002,TSLA74,1.62
002,TSLA75,1.26
002,TSLA76,5.37
002,TSLA77,0.7
002,TSLA78,5.72
002,TSLA79,1.45
002,TSLA80,3.7
002,TSLA81,8.1
002,TSLA82,2.8
002,TSLA83,3.99
002,TSLA84,2.03
002,TSLA85,16.88
002,TSLA86,20.64
002,TSLA87,22.45
002,TSLA88,21.44
002,TSLA89,17.87
002,TSLA90,20.7
002,TSLA91,15.69
002,TSLA92,8.98
002,TSLA93,8.49
